"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2016', 'Quantity')","('Apr 2016', 'CIF (Baht)')","('Jan - Apr 2016', 'Quantity')","('Jan - Apr 2016', 'CIF (Baht)')"
AT,AUSTRIA,121,132464,366,441410
BE,BELGIUM,54880,8005390,143382,20730322
BR,BRAZIL,0,0,21,17344
CA,CANADA,0,0,49,507972
CN,CHINA,134100,8644565,505938,25833139
CZ,CZECH REPUBLIC,7,5142,87,6730
FR,FRANCE,61720,5379841,155579,16348053
DE,GERMANY,31502,9119969,32182,9248962
HK,HONG KONG,0,0,51,7533
IN,INDIA,115,16468,45925,1821428
ID,INDONESIA,22520,2025396,45059,4123208
IL,ISRAEL,0,0,2400,375552
IT,ITALY,850,114122,4575,641377
JP,JAPAN,266120,46141144,899800,135405212
KR,"KOREA,REPUBLIC OF",231376,13647702,1188983,69528266
MY,MALAYSIA,139292,10413156,526902,40370139
MX,MEXICO,0,0,75,72408
NL,NETHERLANDS,41900,4135863,454360,45470424
NZ,NEW ZEALAND,0,0,48,58667
SA,SAUDI ARABIA,173250,5713151,1311750,44519278
SG,SINGAPORE,70950,5899153,434281,59350432
ES,SPAIN,292,36907,19837,1884545
CH,SWITZERLAND,0,0,75,71695
TW,"TAIWAN, PROVINCE OF CHINA",14812,1681391,116424,8715823
TH,THAILAND,0,0,60,35475
AE,UNITED ARAB EMIRATES,99000,3344097,396000,14317689
GB,UNITED KINGDOM,23400,3099347,25560,3496708
US,UNITED STATES,96478,13088274,293919,52161745
VN,VIETNAM,0,0,42000,3935475
SUM,SUM,1462685,140643542,6645688,559497011
