"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2012', 'Quantity')","('Nov 2012', 'CIF (Baht)')","('Jan - Nov 2012', 'Quantity')","('Jan - Nov 2012', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,11000,781871
AT,AUSTRIA,11000,678662,127875,8731700
BE,BELGIUM,0,0,52800,5372556
CN,CHINA,119950,7555702,950950,58720902
FI,FINLAND,0,0,16000,1799119
DE,GERMANY,0,0,11000,1085546
IN,INDIA,0,0,24000,1507013
JP,JAPAN,142000,11605124,1828000,152101355
KR,"KOREA,REPUBLIC OF",791600,47828669,4618525,300200404
MY,MALAYSIA,40000,2784058,635000,41810864
NL,NETHERLANDS,0,0,33000,2416215
PH,PHILIPPINES,0,0,500,82513
SA,SAUDI ARABIA,0,0,24750,1055526
SG,SINGAPORE,0,0,2900,241978
SE,SWEDEN,24750,1679689,1144800,96794770
TW,"TAIWAN, PROVINCE OF CHINA",0,0,11000,934846
AE,UNITED ARAB EMIRATES,26000,1227145,1146950,55176656
GB,UNITED KINGDOM,0,0,157,15721
US,UNITED STATES,228152,11671006,1270106,94400107
VN,VIETNAM,7030,546862,526755,33616310
SUM,SUM,1390482,85576917,12436068,856845972
