"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2022', 'Quantity')","('Mar 2022', 'CIF (Baht)')","('Jan - Mar 2022', 'Quantity')","('Jan - Mar 2022', 'CIF (Baht)')"
AT,AUSTRIA,0,0,1132,1678443
BD,BANGLADESH,0,0,22,5948
BE,BELGIUM,5200,1615915,6330,2089614
BR,BRAZIL,573,211786,955,359225
CA,CANADA,1,14840,11,121484
CN,CHINA,161706,13390279,357848,30769050
FR,FRANCE,40076,2439589,61422,3966670
DE,GERMANY,176272,15417197,187151,18799572
HK,HONG KONG,127200,12319706,129600,12999250
ID,INDONESIA,0,0,22543,2488339
IT,ITALY,0,0,10260,2196289
JP,JAPAN,183984,33466216,482585,85494544
KR,"KOREA,REPUBLIC OF",398550,25396284,1240055,73391389
MY,MALAYSIA,128200,10675428,385968,31707316
NL,NETHERLANDS,0,0,16500,3085991
NO,NORWAY,480,191411,480,191411
SA,SAUDI ARABIA,297000,12375413,297025,12380208
SG,SINGAPORE,43590,7863617,114840,18008984
TH,THAILAND,0,0,150,28270
AE,UNITED ARAB EMIRATES,0,0,301950,28562946
GB,UNITED KINGDOM,26208,3844402,26208,3844402
US,UNITED STATES,152488,24414503,318978,56632195
VN,VIETNAM,0,0,5000,466731
SUM,SUM,1741528,163636586,3967013,389268271
