"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2016', 'Quantity')","('May 2016', 'CIF (Baht)')","('Jan - May 2016', 'Quantity')","('Jan - May 2016', 'CIF (Baht)')"
BE,BELGIUM,99000,4584571,130625,6191241
CN,CHINA,8000,1451759,10588,1707910
DE,GERMANY,1,899,1,899
JP,JAPAN,5560,605549,30895,3191877
KR,"KOREA,REPUBLIC OF",57325,2840133,91325,4514996
MY,MALAYSIA,20000,402797,40019,823354
SA,SAUDI ARABIA,92700,4198493,157500,7202352
TW,"TAIWAN, PROVINCE OF CHINA",0,0,4000,472527
UA,UKRAINE,1000,45692,1000,45692
AE,UNITED ARAB EMIRATES,0,0,24750,951799
US,UNITED STATES,0,0,799,468099
VN,VIETNAM,0,0,1010,34873
SUM,SUM,283586,14129893,492512,25605619
