"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2018', 'Quantity')","('May 2018', 'CIF (Baht)')","('Jan - May 2018', 'Quantity')","('Jan - May 2018', 'CIF (Baht)')"
BE,BELGIUM,2,3155,148502,6856036
CA,CANADA,0,0,6,4347
CN,CHINA,4,2338,100248,5026040
FR,FRANCE,7,23893,7,23893
DE,GERMANY,20,7545,3085,252285
IT,ITALY,0,1607,0,1607
JP,JAPAN,5185,511923,33960,2620462
MY,MALAYSIA,225,233514,1595,548918
SA,SAUDI ARABIA,21600,902875,120600,5066086
SG,SINGAPORE,0,0,8450,675291
TW,"TAIWAN, PROVINCE OF CHINA",0,0,56102,5620201
AE,UNITED ARAB EMIRATES,0,0,123750,4991487
GB,UNITED KINGDOM,96,45658,102,49293
US,UNITED STATES,336,178129,1289,488128
VN,VIETNAM,0,0,1275,8841
SUM,SUM,27475,1910637,598971,32232915
