"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2021', 'Quantity')","('Nov 2021', 'CIF (Baht)')","('Jan - Nov 2021', 'Quantity')","('Jan - Nov 2021', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,220850,18437255
BE,BELGIUM,99014,5446788,1061489,55947919
BR,BRAZIL,0,0,23375,2588273
CA,CANADA,0,0,1512800,52612676
CN,CHINA,213252,7699185,1138026,58900342
DE,GERMANY,0,0,208,81746
HK,HONG KONG,24750,1053699,24750,1053699
IN,INDIA,0,0,62650,3432027
ID,INDONESIA,261250,11543574,6142725,237754491
IL,ISRAEL,4,3003,30044,2628256
JP,JAPAN,84640,8360736,892324,82344936
KR,"KOREA,REPUBLIC OF",321300,14623971,813394,40993098
KW,KUWAIT,445500,17760581,2970000,107535902
MY,MALAYSIA,470125,20443552,1798614,75319156
NL,NETHERLANDS,0,0,35750,2009666
OM,OMAN,148500,5982299,148700,5987269
QA,QATAR,0,0,2906250,108259097
SA,SAUDI ARABIA,2050050,87690694,33548020,1244509335
SG,SINGAPORE,91500,3929787,3887775,166456657
TW,"TAIWAN, PROVINCE OF CHINA",0,0,1705,3451626
AE,UNITED ARAB EMIRATES,594000,26201682,9376475,366178246
GB,UNITED KINGDOM,0,0,100,38111
US,UNITED STATES,467985,26124100,4928207,226003812
VN,VIETNAM,2075,131807,2255,159356
SUM,SUM,5273945,236995458,71526486,2862682951
