"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2018', 'Quantity')","('Oct 2018', 'CIF (Baht)')","('Jan - Oct 2018', 'Quantity')","('Jan - Oct 2018', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,13589,1433046
AT,AUSTRIA,0,0,4125,325745
BE,BELGIUM,7700,888785,92505,6927819
BR,BRAZIL,891850,43743451,11138375,551910761
CA,CANADA,0,0,74260,3576832
CN,CHINA,35203,2307095,390012,22442257
DK,DENMARK,0,0,294,2385
FI,FINLAND,0,0,570375,33035186
FR,FRANCE,0,0,0,2349
DE,GERMANY,157060,11657694,3238154,222138003
HK,HONG KONG,0,0,4,2215
IN,INDIA,600,69585,16712,721858
ID,INDONESIA,300,70637,6626,2357228
IL,ISRAEL,0,0,92060,7809228
IT,ITALY,3325,715925,3496,760367
JP,JAPAN,245521,19361546,2076551,176443583
KR,"KOREA,REPUBLIC OF",0,0,2544200,135137894
KW,KUWAIT,618750,23124112,3762000,144316979
LA,LAO PDR,0,0,925,44400
LU,LUXEMBOURG,175,77486,8025,1322241
MY,MALAYSIA,3941851,163847502,44994889,1878611369
NL,NETHERLANDS,228790,16270927,2570736,159608451
NZ,NEW ZEALAND,0,0,1,691
NO,NORWAY,17320,1012471,316310,18647630
QA,QATAR,382500,14933523,8517000,344588548
RU,RUSSIAN FEDERATION,0,0,50000,2039775
SA,SAUDI ARABIA,2400200,93429869,26522125,1065913537
SG,SINGAPORE,1836700,81276856,21866573,987969973
ES,SPAIN,70000,5792614,70002,5991848
SE,SWEDEN,0,0,9625,501647
CH,SWITZERLAND,0,0,62481,5133550
TW,"TAIWAN, PROVINCE OF CHINA",1500,169562,131131,4717106
TH,THAILAND,0,0,112825,5148585
AE,UNITED ARAB EMIRATES,49500,1885866,1177150,39364120
GB,UNITED KINGDOM,200,25258,18742,3051946
US,UNITED STATES,107149,8397255,1459575,108855077
VN,VIETNAM,100,3642,25572,3102315
SUM,SUM,10996294,489061661,131937025,5943956544
