"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2020', 'Quantity')","('Mar 2020', 'CIF (Baht)')","('Jan - Mar 2020', 'Quantity')","('Jan - Mar 2020', 'CIF (Baht)')"
CN,CHINA,12000,2246153,20481,4519056
FR,FRANCE,0,0,2,1175
DE,GERMANY,0,0,2,835
JP,JAPAN,150,56647,5150,806429
MY,MALAYSIA,0,0,0,57
NL,NETHERLANDS,0,0,25,13671
SG,SINGAPORE,0,0,7,1073
TW,"TAIWAN, PROVINCE OF CHINA",121,11577,121,11577
GB,UNITED KINGDOM,0,0,556,286976
VN,VIETNAM,0,0,6,869
SUM,SUM,12271,2314377,26350,5641718
