"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2020', 'Quantity')","('Sept 2020', 'CIF (Baht)')","('Jan - Sept 2020', 'Quantity')","('Jan - Sept 2020', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,406,123335
AT,AUSTRIA,0,0,1453,2146312
BE,BELGIUM,0,0,18852,2494955
BZ,BELIZE,0,0,191,65750
BR,BRAZIL,0,0,3285,757759
CA,CANADA,39,207018,151,1525891
CN,CHINA,320591,12632922,1344440,77967006
FR,FRANCE,50532,2620100,140735,8993784
DE,GERMANY,0,0,155844,33280603
HK,HONG KONG,100624,8429778,773399,65341161
IN,INDIA,820,226661,828,233875
ID,INDONESIA,635,365736,635,365736
IL,ISRAEL,60,2254,2060,63418
IT,ITALY,3760,360708,4140,407530
JP,JAPAN,100410,23171683,1471088,227866215
KR,"KOREA,REPUBLIC OF",277600,12921355,3553465,172402619
LU,LUXEMBOURG,0,0,415,39834
MY,MALAYSIA,78600,4393531,814434,50684570
NL,NETHERLANDS,0,0,333695,28780187
NO,NORWAY,0,0,2,358
SA,SAUDI ARABIA,173250,5395096,1149910,35598664
SG,SINGAPORE,42807,3057402,333195,34658000
CH,SWITZERLAND,100,119509,350,436475
TW,"TAIWAN, PROVINCE OF CHINA",26,8383,116843,11519499
TH,THAILAND,0,0,10150,807235
AE,UNITED ARAB EMIRATES,519750,18329866,4306375,140643357
GB,UNITED KINGDOM,0,0,20978,3030350
US,UNITED STATES,46659,4998738,677299,103616555
VN,VIETNAM,800,77155,32850,2403960
SUM,SUM,1717063,97317895,15267468,1006254993
