"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2021', 'Quantity')","('Jun 2021', 'CIF (Baht)')","('Jan - Jun 2021', 'Quantity')","('Jan - Jun 2021', 'CIF (Baht)')"
AT,AUSTRIA,431,645575,1191,1732561
BE,BELGIUM,5092,1419314,41992,4228194
BR,BRAZIL,573,206158,4966,1793038
CA,CANADA,2000,287058,6002,855306
CN,CHINA,228024,16959219,1510139,86259573
CZ,CZECH REPUBLIC,0,0,2,682
EG,EGYPT,1,2528,1,2528
FR,FRANCE,21192,2054982,131609,7916899
DE,GERMANY,170,58818,41598,10734231
HK,HONG KONG,0,0,214252,18082071
IN,INDIA,0,0,255,52992
ID,INDONESIA,0,0,22606,1997579
IT,ITALY,0,0,762,113543
JP,JAPAN,183013,29826997,1256741,200281404
KR,"KOREA,REPUBLIC OF",416050,27481207,2237750,125938074
MY,MALAYSIA,91020,7604905,610491,46468241
NL,NETHERLANDS,25986,3134944,440515,38389223
NO,NORWAY,0,0,420,160905
SA,SAUDI ARABIA,48750,2694425,912750,37822525
SG,SINGAPORE,78435,9205237,408406,49860480
ZA,SOUTH AFRICA,0,0,0,185
CH,SWITZERLAND,0,0,430,345942
TW,"TAIWAN, PROVINCE OF CHINA",5010,300372,10988,3078450
TH,THAILAND,0,0,25,5440
AE,UNITED ARAB EMIRATES,792000,38022131,3341250,146157618
GB,UNITED KINGDOM,19000,2550327,45200,5962050
US,UNITED STATES,148924,24394108,816688,128100380
VN,VIETNAM,29158,2792689,67309,5629799
SUM,SUM,2094829,169640994,12124338,921969913
