"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2019', 'Quantity')","('Feb 2019', 'CIF (Baht)')","('Jan - Feb 2019', 'Quantity')","('Jan - Feb 2019', 'CIF (Baht)')"
AT,AUSTRIA,0,0,6000,610874
BE,BELGIUM,10000,1065438,172650,16402788
CA,CANADA,3000,864035,5750,1464240
CN,CHINA,517011,21768960,1634836,53381067
CZ,CZECH REPUBLIC,0,0,100,12296
FI,FINLAND,0,0,25,2862
DE,GERMANY,21250,1825011,42500,3650022
HK,HONG KONG,64566,673895,64566,673895
IN,INDIA,4100,753020,4100,753020
ID,INDONESIA,0,0,1,131
JP,JAPAN,369287,35924501,650647,69777405
KR,"KOREA,REPUBLIC OF",312590,17689087,564090,33328027
MY,MALAYSIA,41950,2229708,92800,4872018
NL,NETHERLANDS,101,28053,101,28053
SA,SAUDI ARABIA,46350,1664494,71100,3023682
SG,SINGAPORE,1325260,52759711,3169691,134144313
TW,"TAIWAN, PROVINCE OF CHINA",21947,1254319,31972,2276971
TH,THAILAND,87100,2632109,142924,4126631
TR,TÜRKIYE,4000,97211,4000,97211
AE,UNITED ARAB EMIRATES,49500,1768264,299150,12882438
GB,UNITED KINGDOM,1000,357527,1000,357527
US,UNITED STATES,260579,36536458,1353149,123020907
VN,VIETNAM,0,0,182275,7432820
SUM,SUM,3139591,179891801,8493427,472319198
