"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2018', 'Quantity')","('Jan 2018', 'CIF (Baht)')","('Jan - Jan 2018', 'Quantity')","('Jan - Jan 2018', 'CIF (Baht)')"
BE,BELGIUM,168575,9968518,168575,9968518
CA,CANADA,17000,1203064,17000,1203064
CN,CHINA,173910,7101738,173910,7101738
DE,GERMANY,10005,869638,10005,869638
IT,ITALY,19550,2686232,19550,2686232
JP,JAPAN,292213,17102884,292213,17102884
KR,"KOREA,REPUBLIC OF",756000,40117101,756000,40117101
MY,MALAYSIA,132680,6321693,132680,6321693
SA,SAUDI ARABIA,272250,13037735,272250,13037735
SG,SINGAPORE,12000,678431,12000,678431
TW,"TAIWAN, PROVINCE OF CHINA",231000,12770897,231000,12770897
AE,UNITED ARAB EMIRATES,94500,4783527,94500,4783527
US,UNITED STATES,165984,10764869,165984,10764869
VN,VIETNAM,200,5259,200,5259
SUM,SUM,2345867,127411586,2345867,127411586
