"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2020', 'Quantity')","('Jul 2020', 'CIF (Baht)')","('Jan - Jul 2020', 'Quantity')","('Jan - Jul 2020', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,25,16801
CN,CHINA,8,2540,25324,1353530
FR,FRANCE,0,0,7500,1407401
DE,GERMANY,7,1830,32,6152
HK,HONG KONG,0,0,44,8175
IN,INDIA,0,0,28,5780
IL,ISRAEL,0,0,24000,1546577
JP,JAPAN,9884,1360531,242795,30293673
KR,"KOREA,REPUBLIC OF",114000,8076363,376549,24560798
MY,MALAYSIA,2000,151149,2000,151149
MX,MEXICO,545,1160885,545,1160885
QA,QATAR,0,0,85000,2472166
SG,SINGAPORE,158,30507,158,30507
GB,UNITED KINGDOM,205,68185,1106,298745
US,UNITED STATES,0,0,686,49397
SUM,SUM,126807,10851990,765792,63361736
