"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2021', 'Quantity')","('Apr 2021', 'CIF (Baht)')","('Jan - Apr 2021', 'Quantity')","('Jan - Apr 2021', 'CIF (Baht)')"
AT,AUSTRIA,0,0,10395,755405
BE,BELGIUM,17560,837884,177326,7535666
BR,BRAZIL,0,0,49500,1660797
CN,CHINA,279883,22263130,1428339,94394392
FI,FINLAND,23375,1370892,93500,5029492
DE,GERMANY,7500,503604,17505,1345400
HK,HONG KONG,7,2207,10,2880
HU,HUNGARY,0,0,2750,198459
IN,INDIA,0,0,4000,405325
ID,INDONESIA,27037,2148127,48037,3758305
IL,ISRAEL,20,26323,48020,3056723
JP,JAPAN,429135,26908428,1851967,110942802
KR,"KOREA,REPUBLIC OF",992100,45757734,5122965,212189179
MY,MALAYSIA,51209,3925703,299145,21014340
OM,OMAN,74250,3098650,594000,19733081
SA,SAUDI ARABIA,1544000,69699752,9113500,344436406
SG,SINGAPORE,720678,34656810,2959847,134058106
ZA,SOUTH AFRICA,29,182229,27009,1408670
ES,SPAIN,0,0,37525,3088528
TW,"TAIWAN, PROVINCE OF CHINA",116075,4970217,373625,19699254
TH,THAILAND,0,0,403650,17747949
AE,UNITED ARAB EMIRATES,222750,10549251,421250,17965717
GB,UNITED KINGDOM,0,0,100,25407
US,UNITED STATES,20922,2086482,209713,11696774
VN,VIETNAM,99000,4736399,181550,7749783
SUM,SUM,4625530,233723822,23475228,1039898840
