"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2013', 'Quantity')","('Dec 2013', 'CIF (Baht)')","('Jan - Dec 2013', 'Quantity')","('Jan - Dec 2013', 'CIF (Baht)')"
AU,AUSTRALIA,64000,2376828,226354,9208115
AT,AUSTRIA,0,0,410,67814
BE,BELGIUM,44000,2713539,939360,55547925
BR,BRAZIL,0,0,5500,409351
CA,CANADA,0,0,20956,1497645
CN,CHINA,60400,4385369,540317,29920682
FI,FINLAND,0,0,24750,1596988
FR,FRANCE,0,0,61925,5183085
DE,GERMANY,12730,9595221,318290,95573679
GT,GUATEMALA,100,70089,100,70089
IN,INDIA,0,0,4695,403918
ID,INDONESIA,0,0,781740,38549273
IT,ITALY,0,0,52250,3626386
JP,JAPAN,1317160,83459336,20518511,1199434227
KR,"KOREA,REPUBLIC OF",85000,4402231,485120,24658449
KW,KUWAIT,668250,32273714,7548750,335187461
LU,LUXEMBOURG,0,0,600,144530
MY,MALAYSIA,228000,12256588,5428475,253350147
NL,NETHERLANDS,0,0,700,184375
NZ,NEW ZEALAND,0,0,75,35653
PL,POLAND,0,0,4,1968
QA,QATAR,746980,37492372,35505779,1675696883
RU,RUSSIAN FEDERATION,0,0,1272,133017
SA,SAUDI ARABIA,2538750,123502446,29972000,1361447655
SG,SINGAPORE,1008010,50747290,16544171,772223696
ES,SPAIN,0,0,375,97299
SE,SWEDEN,0,0,22000,1633724
TW,"TAIWAN, PROVINCE OF CHINA",0,0,277565,13118944
TH,THAILAND,0,0,215322,9461112
AE,UNITED ARAB EMIRATES,299375,14731534,8456325,375257114
GB,UNITED KINGDOM,0,0,9999,2072329
US,UNITED STATES,34680,2059016,2418516,118481219
VN,VIETNAM,0,0,200,17392
SUM,SUM,7107435,380065573,130382406,6384292144
