"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2013', 'Quantity')","('Nov 2013', 'CIF (Baht)')","('Jan - Nov 2013', 'Quantity')","('Jan - Nov 2013', 'CIF (Baht)')"
AU,AUSTRALIA,130000,7457963,674975,34781321
AT,AUSTRIA,500,816876,1616,2291058
BE,BELGIUM,0,0,38601,4615084
CA,CANADA,8064,1259197,23352,3606244
CN,CHINA,110960,6088013,1598636,73239137
EC,ECUADOR,0,0,28,22799
FR,FRANCE,49324,5195210,246759,20843115
DE,GERMANY,15018,2084217,474604,81824423
HK,HONG KONG,0,0,11000,860454
IN,INDIA,0,0,6025,312064
ID,INDONESIA,0,0,243378,18953544
IE,IRELAND,0,0,100,33009
IL,ISRAEL,0,0,4800,784310
IT,ITALY,12950,1072894,37188,5421926
JP,JAPAN,128363,25953107,2175239,423793465
KR,"KOREA,REPUBLIC OF",162875,12331960,2743269,179832650
MY,MALAYSIA,104000,9631955,1532212,135884032
NL,NETHERLANDS,143150,15908187,1324794,139746835
PG,PAPUA NEW GUINEA,0,0,32,16384
PH,PHILIPPINES,0,0,50,64855
SA,SAUDI ARABIA,272250,13501493,2971375,136089305
SG,SINGAPORE,0,0,660363,68103593
ES,SPAIN,35200,2865043,97075,7826158
CH,SWITZERLAND,500,294003,4500,3188269
TW,"TAIWAN, PROVINCE OF CHINA",61558,4644431,880359,56377039
TH,THAILAND,0,0,50,21793
TR,TÜRKIYE,0,0,20,39394
GB,UNITED KINGDOM,0,0,506948,55218712
US,UNITED STATES,25515,3991707,538630,78945813
VN,VIETNAM,0,0,185,124190
SUM,SUM,1260227,113096256,16796163,1532860975
