"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2017', 'Quantity')","('May 2017', 'CIF (Baht)')","('Jan - May 2017', 'Quantity')","('Jan - May 2017', 'CIF (Baht)')"
AT,AUSTRIA,0,0,24750,1379852
BE,BELGIUM,20000,864533,20020,865056
BR,BRAZIL,49675,2641761,4667271,247032851
CN,CHINA,7360,725545,77044,5906402
FI,FINLAND,173250,9414358,346500,18848157
DE,GERMANY,815360,48498472,1698854,110600438
IN,INDIA,0,0,1001,72674
ID,INDONESIA,54500,3655428,165545,11828201
IL,ISRAEL,0,0,41200,3479100
IT,ITALY,0,0,0,3332
JP,JAPAN,340275,27148092,1360100,105655734
KR,"KOREA,REPUBLIC OF",300000,17118230,1354024,78058803
KW,KUWAIT,272250,11561332,1584000,66913220
LA,LAO PDR,27500,1292500,27500,1292500
MY,MALAYSIA,2796171,132758255,12412179,588394094
MX,MEXICO,0,0,99000,4598041
NL,NETHERLANDS,302460,17907057,1287995,75689303
NO,NORWAY,0,0,52250,3034899
QA,QATAR,382500,17502152,3008526,134225999
SA,SAUDI ARABIA,3136374,140284192,12308674,554004209
SG,SINGAPORE,2331223,118735550,12102111,616528279
ZA,SOUTH AFRICA,0,0,99000,4057657
ES,SPAIN,68240,5852030,106240,9196930
CH,SWITZERLAND,360,96373,460,128356
TW,"TAIWAN, PROVINCE OF CHINA",0,0,9385,1046853
TH,THAILAND,0,0,5200,325676
AE,UNITED ARAB EMIRATES,58614,1981890,730714,24299644
GB,UNITED KINGDOM,0,0,13904,2345281
US,UNITED STATES,103718,7941244,561606,47194062
VN,VIETNAM,5525,600540,76173,5799756
SUM,SUM,11245355,566579534,54241226,2722805359
