"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2019', 'Quantity')","('Apr 2019', 'CIF (Baht)')","('Jan - Apr 2019', 'Quantity')","('Jan - Apr 2019', 'CIF (Baht)')"
BE,BELGIUM,36000,3849844,48000,5147192
CN,CHINA,275,20144,325,36365
DE,GERMANY,0,0,0,64
JP,JAPAN,8000,516491,30034,2061268
KR,"KOREA,REPUBLIC OF",59800,4761366,73200,5513834
SA,SAUDI ARABIA,0,0,550,21560
SG,SINGAPORE,240000,8730819,2917000,107748689
AE,UNITED ARAB EMIRATES,49500,1869555,296550,12219975
GB,UNITED KINGDOM,2475,304998,3475,442385
US,UNITED STATES,151639,12552436,328311,25443720
SUM,SUM,547689,32605653,3697445,158635052
