"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2016', 'Quantity')","('Jul 2016', 'CIF (Baht)')","('Jan - Jul 2016', 'Quantity')","('Jan - Jul 2016', 'CIF (Baht)')"
AU,AUSTRALIA,1917,164756,6497,1705299
AT,AUSTRIA,24750,1241315,26125,1277595
BE,BELGIUM,0,0,110951,10169464
BR,BRAZIL,0,0,5250,557786
KH,CAMBODIA,0,0,5,1814
CN,CHINA,26300,2474152,242743,19885315
FI,FINLAND,148500,7819156,668450,33526221
FR,FRANCE,25,17385,25,19521
DE,GERMANY,444787,29530440,2145549,143623340
HK,HONG KONG,10,8966,110,32268
IN,INDIA,0,0,2032,490855
ID,INDONESIA,50750,3076359,227400,15468396
IT,ITALY,0,0,0,271
JP,JAPAN,264735,20804903,2161603,154149255
KR,"KOREA,REPUBLIC OF",390775,22342098,2216822,124587915
KW,KUWAIT,321750,13210847,2499750,102523915
MY,MALAYSIA,2242778,95791509,21797480,937333027
NL,NETHERLANDS,378350,22696753,1915350,110819646
NZ,NEW ZEALAND,0,0,1,6929
PH,PHILIPPINES,0,0,9,5251
PL,POLAND,0,0,8003,1324547
QA,QATAR,408000,16716113,4307000,176126461
SA,SAUDI ARABIA,2348260,97567748,19438498,797742444
SG,SINGAPORE,2897474,136614988,18239284,840258662
ES,SPAIN,0,0,36250,2079292
SE,SWEDEN,0,0,2375,246231
CH,SWITZERLAND,100,85764,100,85764
TW,"TAIWAN, PROVINCE OF CHINA",975,192324,14525,2703248
TH,THAILAND,0,0,935,89016
AE,UNITED ARAB EMIRATES,163625,6627878,1085837,44382106
GB,UNITED KINGDOM,1145,177479,6969,1529563
US,UNITED STATES,218732,17565059,844589,71304822
VN,VIETNAM,4225,567431,23379,3359781
SUM,SUM,10337963,495293423,78033896,3597416020
