"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2015', 'Quantity')","('Nov 2015', 'CIF (Baht)')","('Jan - Nov 2015', 'Quantity')","('Jan - Nov 2015', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,1248,309754
AT,AUSTRIA,0,0,1,8200
BE,BELGIUM,144750,9413796,1254912,90308824
BR,BRAZIL,0,0,1075,159347
CA,CANADA,0,0,17000,1336500
CN,CHINA,35278,2541293,319554,19873391
FR,FRANCE,0,0,22007,2143440
DE,GERMANY,0,0,230,95775
IN,INDIA,0,0,500,1155891
ID,INDONESIA,0,0,20,6484
IT,ITALY,250,328031,46590,6605100
JP,JAPAN,196268,13638463,1837209,119734930
KR,"KOREA,REPUBLIC OF",1004,270150,2242109,113153751
MY,MALAYSIA,242474,9080917,1558738,65198027
PT,PORTUGAL,0,0,60,45888
SA,SAUDI ARABIA,0,0,519750,25973447
SG,SINGAPORE,0,0,87000,4553364
ES,SPAIN,0,0,141,52616
TW,"TAIWAN, PROVINCE OF CHINA",57940,3774457,932584,58057630
TH,THAILAND,0,0,294000,17209115
GB,UNITED KINGDOM,0,0,615,207510
US,UNITED STATES,60700,3461824,398152,41365791
VN,VIETNAM,112090,1700262,575890,8882246
SUM,SUM,850754,44209193,10109385,576437021
