"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2018', 'Quantity')","('Dec 2018', 'CIF (Baht)')","('Jan - Dec 2018', 'Quantity')","('Jan - Dec 2018', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,13609,1442553
AT,AUSTRIA,0,0,4125,325745
BE,BELGIUM,7370,828273,108450,8694465
BR,BRAZIL,1014750,47566415,12747125,627601460
CA,CANADA,48290,1355730,122550,4932562
CN,CHINA,77895,4515249,490632,28374380
DK,DENMARK,0,0,294,2385
FI,FINLAND,123650,7775439,867050,51548117
FR,FRANCE,0,0,0,2349
DE,GERMANY,234401,17044851,3764935,259885663
HK,HONG KONG,127500,4596647,127504,4598862
IN,INDIA,1100,78581,17812,800439
ID,INDONESIA,2500,430704,17876,4410995
IL,ISRAEL,0,0,92060,7809228
IT,ITALY,3525,961585,11071,2711324
JP,JAPAN,220039,19808631,2514691,213492275
KR,"KOREA,REPUBLIC OF",176000,11079040,3004800,165864716
KW,KUWAIT,297000,11119128,4405500,168298889
LA,LAO PDR,0,0,925,44400
LU,LUXEMBOURG,75,27083,8325,1450392
MY,MALAYSIA,3615019,147116878,53052496,2206054243
NL,NETHERLANDS,201460,14778095,2957926,186129828
NZ,NEW ZEALAND,0,0,1,691
NO,NORWAY,59470,3434547,459720,26922565
PH,PHILIPPINES,77,14448,77,14608
QA,QATAR,1085550,41446363,10894550,436365076
RU,RUSSIAN FEDERATION,0,0,50000,2039775
SA,SAUDI ARABIA,1466100,55267671,30498725,1217560380
SG,SINGAPORE,2014540,85655031,26011213,1165761890
ZA,SOUTH AFRICA,0,0,35,7520
ES,SPAIN,38660,3197664,199342,16621849
SE,SWEDEN,0,0,9625,501647
CH,SWITZERLAND,100,28143,62601,5180797
TW,"TAIWAN, PROVINCE OF CHINA",1000,85147,151231,6552889
TH,THAILAND,252000,9267432,364825,14416017
TR,TÜRKIYE,0,0,23375,723628
AE,UNITED ARAB EMIRATES,36350,1434714,1274400,43187687
GB,UNITED KINGDOM,1070,194976,19812,3246922
US,UNITED STATES,117992,4731000,1924532,129693860
VN,VIETNAM,216000,8180912,247572,12122377
SUM,SUM,11439483,502020377,156521392,7025395448
