"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2022', 'Quantity')","('Feb 2022', 'CIF (Baht)')","('Jan - Feb 2022', 'Quantity')","('Jan - Feb 2022', 'CIF (Baht)')"
AU,AUSTRALIA,2081,792218,2081,792218
BE,BELGIUM,70400,5406861,95150,8246730
CA,CANADA,52250,2970611,106625,6692731
CN,CHINA,590650,32778772,1599538,85292544
FR,FRANCE,189,99214,189,99214
DE,GERMANY,16330,1437104,43430,5125523
IN,INDIA,200,56962,200,56962
ID,INDONESIA,500,46957,500,46957
IT,ITALY,0,0,2000,822764
JP,JAPAN,280765,38544430,485131,59035999
KR,"KOREA,REPUBLIC OF",155800,13926274,594575,52562435
MY,MALAYSIA,40360,2822012,80905,5932099
NL,NETHERLANDS,0,0,4125,556141
NZ,NEW ZEALAND,275,222302,275,222302
QA,QATAR,0,0,25500,1386561
SA,SAUDI ARABIA,148500,7709927,321750,17223488
SG,SINGAPORE,858420,50331579,1440245,82492773
CH,SWITZERLAND,150,246638,150,246638
TW,"TAIWAN, PROVINCE OF CHINA",12150,1578032,17450,2441049
AE,UNITED ARAB EMIRATES,101425,4339271,168175,8835284
GB,UNITED KINGDOM,0,0,15300,1443727
US,UNITED STATES,605824,48766789,2031157,160888576
VN,VIETNAM,200,18460,23213,1725475
SUM,SUM,2936469,212094413,7057664,502168190
