"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2018', 'Quantity')","('May 2018', 'CIF (Baht)')","('Jan - May 2018', 'Quantity')","('Jan - May 2018', 'CIF (Baht)')"
BE,BELGIUM,40,4269,40,4269
BR,BRAZIL,0,0,27,16784
CN,CHINA,41,24957,4806,402163
FR,FRANCE,1000,210281,4000,892073
IN,INDIA,0,0,112001,2551946
IL,ISRAEL,0,0,12000,806077
IT,ITALY,0,0,2500,180474
JP,JAPAN,18752,3603674,127729,18170641
KR,"KOREA,REPUBLIC OF",99000,4848143,314500,16702067
MY,MALAYSIA,0,0,2517,273797
QA,QATAR,17000,678539,68000,2761674
TW,"TAIWAN, PROVINCE OF CHINA",0,0,9,19832
GB,UNITED KINGDOM,350,87120,700,196392
SUM,SUM,136183,9456983,648829,42978189
