"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2018', 'Quantity')","('Mar 2018', 'CIF (Baht)')","('Jan - Mar 2018', 'Quantity')","('Jan - Mar 2018', 'CIF (Baht)')"
AU,AUSTRALIA,302960,11700712,593020,22567312
BE,BELGIUM,0,0,162000,8511840
CN,CHINA,122050,9287436,613300,37477320
FI,FINLAND,34375,2013540,104500,6402596
DE,GERMANY,3750,253489,26260,673926
IN,INDIA,0,0,2020,225539
IL,ISRAEL,100,95442,24200,1686712
IT,ITALY,47,20257,47,20257
JP,JAPAN,326814,18915144,1080958,60272223
KR,"KOREA,REPUBLIC OF",421100,18619011,1591775,72278477
MY,MALAYSIA,86742,10163889,220443,28389671
SA,SAUDI ARABIA,247500,10315695,1016000,40480192
SG,SINGAPORE,410510,19315876,681600,33809573
ZA,SOUTH AFRICA,0,0,10,4603
TW,"TAIWAN, PROVINCE OF CHINA",48000,2350102,150200,7282803
TH,THAILAND,0,0,50,8542
US,UNITED STATES,31301,2581834,62707,5468415
SUM,SUM,2035249,105632427,6329090,325560001
