"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2016', 'Quantity')","('May 2016', 'CIF (Baht)')","('Jan - May 2016', 'Quantity')","('Jan - May 2016', 'CIF (Baht)')"
CN,CHINA,0,0,5,2070
FR,FRANCE,0,0,500,104194
HK,HONG KONG,0,0,13,2839
ID,INDONESIA,0,0,400,115024
IT,ITALY,0,0,13,6236
JP,JAPAN,7200,1046813,42274,7997059
KR,"KOREA,REPUBLIC OF",13303,464087,73233,2593996
MY,MALAYSIA,0,0,5000,480875
QA,QATAR,0,0,66000,2594841
US,UNITED STATES,0,0,9,9284
SUM,SUM,20503,1510900,187447,13906418
