"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2014', 'Quantity')","('Oct 2014', 'CIF (Baht)')","('Jan - Oct 2014', 'Quantity')","('Jan - Oct 2014', 'CIF (Baht)')"
BR,BRAZIL,0,0,95,103515
CN,CHINA,18000,1118169,182074,11273925
FR,FRANCE,0,0,100,71639
DE,GERMANY,0,0,1376,117934
HK,HONG KONG,0,0,2,1306
IN,INDIA,0,0,225,21739
IL,ISRAEL,0,0,101000,8605496
JP,JAPAN,8575,794761,101527,9339523
KR,"KOREA,REPUBLIC OF",0,0,73700,4114617
MY,MALAYSIA,0,0,40066,925799
NL,NETHERLANDS,0,0,50,51216
QA,QATAR,76500,4054538,246000,13279328
SG,SINGAPORE,0,0,27603,1673614
TW,"TAIWAN, PROVINCE OF CHINA",0,0,30000,3271981
TR,TÜRKIYE,10,5235,10,5235
US,UNITED STATES,9222,2823710,54608,16733602
SUM,SUM,112307,8796413,858436,69590469
