"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2016', 'Quantity')","('Feb 2016', 'CIF (Baht)')","('Jan - Feb 2016', 'Quantity')","('Jan - Feb 2016', 'CIF (Baht)')"
AT,AUSTRIA,245,308946,245,308946
BE,BELGIUM,2000,276878,17886,2617973
BR,BRAZIL,0,0,21,17344
CA,CANADA,49,507972,49,507972
CN,CHINA,153730,6514007,221082,9843778
CZ,CZECH REPUBLIC,80,1588,80,1588
FR,FRANCE,44064,5027519,72889,7677504
DE,GERMANY,0,0,680,128993
IN,INDIA,30,9657,30,9657
ID,INDONESIA,22508,2091845,22539,2097812
IT,ITALY,0,0,3385,481551
JP,JAPAN,197113,29366383,384448,59470669
KR,"KOREA,REPUBLIC OF",360915,20574248,748805,41560762
MY,MALAYSIA,119000,8927122,241850,19032033
MX,MEXICO,0,0,75,72408
NL,NETHERLANDS,130000,11779007,295440,28566592
SA,SAUDI ARABIA,396000,12997979,816750,28552323
SG,SINGAPORE,107512,11641225,340281,48553687
ES,SPAIN,9900,955776,9920,969036
CH,SWITZERLAND,0,0,75,71695
TW,"TAIWAN, PROVINCE OF CHINA",26599,1286828,78383,5250247
TH,THAILAND,60,35475,60,35475
AE,UNITED ARAB EMIRATES,99000,3624025,198000,7578486
US,UNITED STATES,42046,7843073,178360,35225268
VN,VIETNAM,11000,1104453,22000,2204310
SUM,SUM,1721851,124874006,3653333,300836109
