"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2019', 'Quantity')","('Dec 2019', 'CIF (Baht)')","('Jan - Dec 2019', 'Quantity')","('Jan - Dec 2019', 'CIF (Baht)')"
BR,BRAZIL,100,7291,375,42691
CN,CHINA,0,0,60178,997266
DE,GERMANY,0,0,6520,12867860
HK,HONG KONG,0,0,3,1863
IN,INDIA,52000,1453360,104049,3209292
JP,JAPAN,121500,4832179,1039037,32668228
KR,"KOREA,REPUBLIC OF",102000,3083529,172000,5631710
MY,MALAYSIA,0,0,1400,549489
NL,NETHERLANDS,0,0,3,2064
NO,NORWAY,0,0,54,21430
PH,PHILIPPINES,0,0,13,2530
SA,SAUDI ARABIA,0,0,1952100,65736412
SG,SINGAPORE,49500,1311751,49500,1311751
CH,SWITZERLAND,0,0,1,784
TW,"TAIWAN, PROVINCE OF CHINA",18000,935084,54636,3008055
UA,UKRAINE,0,0,5,1974
GB,UNITED KINGDOM,0,0,2,1043
US,UNITED STATES,18000,1394424,90007,6882853
SUM,SUM,361100,13017618,3529883,132937295
