"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2016', 'Quantity')","('Feb 2016', 'CIF (Baht)')","('Jan - Feb 2016', 'Quantity')","('Jan - Feb 2016', 'CIF (Baht)')"
BE,BELGIUM,0,0,200,192051
CN,CHINA,44000,3452822,132500,10405917
ID,INDONESIA,29010,2704453,66260,6164813
IL,ISRAEL,5980,479291,5980,479291
JP,JAPAN,865704,47764622,1151414,64993839
KR,"KOREA,REPUBLIC OF",39800,1982569,61800,3186979
KW,KUWAIT,173250,6690444,321750,12670624
MY,MALAYSIA,77000,3264078,110229,4894734
NL,NETHERLANDS,114250,5398623,179000,8496327
PH,PHILIPPINES,0,0,17000,729244
QA,QATAR,510100,19345739,918100,35110035
SA,SAUDI ARABIA,1906881,76971667,4233381,173551162
SG,SINGAPORE,150000,6513508,555000,23841961
AE,UNITED ARAB EMIRATES,371250,14850619,1361400,55209622
GB,UNITED KINGDOM,5,2851,5,2851
US,UNITED STATES,115538,7384000,257079,16380539
SUM,SUM,4402768,196805286,9371098,416309989
