"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2018', 'Quantity')","('Aug 2018', 'CIF (Baht)')","('Jan - Aug 2018', 'Quantity')","('Jan - Aug 2018', 'CIF (Baht)')"
BE,BELGIUM,24000,2638248,168000,17030711
DE,GERMANY,0,0,74250,3936201
ID,INDONESIA,0,0,50,18980
JP,JAPAN,6000,439807,25950,2302002
KR,"KOREA,REPUBLIC OF",319000,16917684,1592900,86826393
SG,SINGAPORE,996000,48484326,7337010,339409282
AE,UNITED ARAB EMIRATES,45700,2387329,232250,11749988
GB,UNITED KINGDOM,0,0,1350,170080
US,UNITED STATES,12750,689679,601549,36889878
SUM,SUM,1403450,71557073,10033309,498333515
