"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2020', 'Quantity')","('May 2020', 'CIF (Baht)')","('Jan - May 2020', 'Quantity')","('Jan - May 2020', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,5000,372702
AT,AUSTRIA,4125,251073,4125,251073
BE,BELGIUM,37440,1674164,190070,8952330
CN,CHINA,113030,8652172,1185955,76682980
DE,GERMANY,0,0,30126,1745100
HK,HONG KONG,0,0,100,15301
IN,INDIA,0,0,2400,230376
ID,INDONESIA,8000,652952,69287,5314561
IL,ISRAEL,15040,1024926,39240,2598804
JP,JAPAN,282089,21636297,1775916,112311539
KR,"KOREA,REPUBLIC OF",717700,27935819,4092350,153021238
MY,MALAYSIA,138311,4835126,1565132,60054894
OM,OMAN,0,0,148500,4335859
SA,SAUDI ARABIA,351030,10549657,5226530,161466540
SG,SINGAPORE,482863,16918110,2356623,86193206
ES,SPAIN,0,0,16500,1322228
TW,"TAIWAN, PROVINCE OF CHINA",72875,3576680,313460,12884132
TH,THAILAND,850,716,23825,837331
AE,UNITED ARAB EMIRATES,1375,49380,273375,8711852
US,UNITED STATES,57044,2017756,164757,10420906
SUM,SUM,2281772,99774828,17483271,707722952
