"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2017', 'Quantity')","('Aug 2017', 'CIF (Baht)')","('Jan - Aug 2017', 'Quantity')","('Jan - Aug 2017', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,800,229461
AT,AUSTRIA,460,599530,1378,1715640
BE,BELGIUM,27700,2969808,43400,4412721
BR,BRAZIL,382,137270,1719,623857
CA,CANADA,25,346907,10212,3540165
CN,CHINA,60545,2989931,1062882,53466258
FR,FRANCE,43066,2551189,292982,20603266
DE,GERMANY,4046,1615939,34667,9748680
IN,INDIA,43000,2066463,192020,11553502
ID,INDONESIA,10,3133,47392,4446920
IT,ITALY,680,82597,5013,655833
JP,JAPAN,177600,31264853,2010962,293313670
KR,"KOREA,REPUBLIC OF",196000,9742336,1720447,97816620
LU,LUXEMBOURG,0,0,20,13769
MY,MALAYSIA,155203,13123488,1289536,112009355
NL,NETHERLANDS,82260,7781950,706147,62761327
NZ,NEW ZEALAND,50,33728,270,208309
NO,NORWAY,0,0,202,104009
PH,PHILIPPINES,0,0,25,31279
SA,SAUDI ARABIA,396100,14558365,4368300,167459280
SG,SINGAPORE,112050,10066174,518430,60283550
ZA,SOUTH AFRICA,0,0,297000,11389329
ES,SPAIN,0,0,53410,4730929
CH,SWITZERLAND,500,450821,1600,1235131
TW,"TAIWAN, PROVINCE OF CHINA",220870,8924213,899886,45689073
GB,UNITED KINGDOM,500,102143,38943,4991828
US,UNITED STATES,88584,16465114,1341145,239291343
VN,VIETNAM,9000,723069,71021,5883502
SUM,SUM,1618631,126599021,15009809,1218208606
