"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2016', 'Quantity')","('Apr 2016', 'CIF (Baht)')","('Jan - Apr 2016', 'Quantity')","('Jan - Apr 2016', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,2400,271903
AT,AUSTRIA,0,0,240,150731
BE,BELGIUM,199250,8870528,254000,11816333
BR,BRAZIL,0,0,20,10387
CA,CANADA,200000,8435904,200000,8435904
CN,CHINA,48331,6599485,159703,24900906
FR,FRANCE,74250,3412364,274575,14013203
DE,GERMANY,27948,2436514,34832,3436487
HK,HONG KONG,500,84466,4900,589340
IN,INDIA,0,0,7675,563890
ID,INDONESIA,15250,1389287,69250,7609355
IT,ITALY,24750,1452820,30402,2242753
JP,JAPAN,1594886,92442424,5050150,308041804
KR,"KOREA,REPUBLIC OF",197100,9207185,1349625,60631721
MY,MALAYSIA,0,0,183450,7011423
NL,NETHERLANDS,59112,3284290,339612,19992470
SA,SAUDI ARABIA,396000,13864407,891000,31667009
SG,SINGAPORE,4135330,171342511,18308105,793663119
ZA,SOUTH AFRICA,99000,3097031,297000,9319360
ES,SPAIN,11000,1135053,16660,1665749
TW,"TAIWAN, PROVINCE OF CHINA",2520,708263,463545,20426533
TH,THAILAND,0,0,15000,333300
TR,TÜRKIYE,0,0,243,27257
AE,UNITED ARAB EMIRATES,445525,15723130,1733325,61308879
US,UNITED STATES,39290,3827234,140187,12961669
SUM,SUM,7570042,347312896,29825899,1401091485
