"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2018', 'Quantity')","('Jun 2018', 'CIF (Baht)')","('Jan - Jun 2018', 'Quantity')","('Jan - Jun 2018', 'CIF (Baht)')"
AT,AUSTRIA,0,0,200,138013
BE,BELGIUM,35220,2871399,1049431,53747158
BR,BRAZIL,7000,660671,260300,19202849
CA,CANADA,0,0,38524,6426164
CN,CHINA,10710,892704,696128,28330381
DK,DENMARK,0,0,1,459
FI,FINLAND,24750,1960189,24750,1960189
FR,FRANCE,107750,5941862,217750,11660314
DE,GERMANY,248610,14083414,1225565,86843559
HK,HONG KONG,0,0,16,8418
ID,INDONESIA,45,14,69385,3928879
IT,ITALY,26000,1035048,118500,7186833
JP,JAPAN,1229648,66217899,7963263,401988436
KR,"KOREA,REPUBLIC OF",221000,10503354,2992200,139135840
KW,KUWAIT,1039500,43321433,4281750,173198787
MY,MALAYSIA,250,115802,3120860,136539592
NL,NETHERLANDS,0,0,11000,796648
NO,NORWAY,530335,31195815,1307465,75272512
QA,QATAR,1382180,60450416,11416480,499199902
SA,SAUDI ARABIA,1386000,60059520,9852500,422089299
SG,SINGAPORE,796115,37644161,6752385,302398954
SE,SWEDEN,0,0,2750,274810
CH,SWITZERLAND,0,0,16640,774075
TW,"TAIWAN, PROVINCE OF CHINA",500,16475,2138200,100630964
TH,THAILAND,6,6766,54011,2198559
AE,UNITED ARAB EMIRATES,1881000,79204697,7673311,328146486
US,UNITED STATES,1571611,69579063,5300739,241483287
SUM,SUM,10498230,485760702,66584104,3043561367
