"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2016', 'Quantity')","('Sept 2016', 'CIF (Baht)')","('Jan - Sept 2016', 'Quantity')","('Jan - Sept 2016', 'CIF (Baht)')"
AT,AUSTRIA,0,0,5500,476887
CN,CHINA,15000,1400791,165800,15842841
HK,HONG KONG,1180,86240,1770,114612
JP,JAPAN,301600,24054220,1692800,114469799
KR,"KOREA,REPUBLIC OF",0,0,283140,19992332
MY,MALAYSIA,10000,636882,30000,1936313
SE,SWEDEN,0,0,24750,1388856
TW,"TAIWAN, PROVINCE OF CHINA",0,0,33000,3236035
AE,UNITED ARAB EMIRATES,26000,1176315,299000,14136058
US,UNITED STATES,128684,7834730,1210818,75492057
VN,VIETNAM,50625,3136122,306075,20229905
SUM,SUM,533089,38325300,4052653,267315695
