"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2015', 'Quantity')","('May 2015', 'CIF (Baht)')","('Jan - May 2015', 'Quantity')","('Jan - May 2015', 'CIF (Baht)')"
AT,AUSTRIA,5000,246453,5300,535949
BE,BELGIUM,3375,471488,221945,13830831
CA,CANADA,0,0,16000,2831186
CN,CHINA,50000,10628968,157107,25905522
CZ,CZECH REPUBLIC,0,0,100,57006
FI,FINLAND,25,12740,25,12740
FR,FRANCE,25,4002,270762,13981733
DE,GERMANY,8900,788313,23110,2914405
HK,HONG KONG,500,67758,9000,858773
IN,INDIA,0,0,36000,2086935
ID,INDONESIA,750,61735,47000,5342053
IT,ITALY,0,0,50,22704
JP,JAPAN,1185035,71337832,5732295,378077519
KR,"KOREA,REPUBLIC OF",350256,16655019,1799931,87859102
MY,MALAYSIA,141000,6682408,276200,12956242
NL,NETHERLANDS,0,0,767625,49653757
SA,SAUDI ARABIA,222750,9920662,1386000,58458393
SG,SINGAPORE,5133300,252769124,25539855,1247531888
ZA,SOUTH AFRICA,99000,4090663,99000,4090663
ES,SPAIN,0,0,150,67977
TW,"TAIWAN, PROVINCE OF CHINA",163030,7889499,1084070,51922316
TH,THAILAND,600,82232,23800,1385914
AE,UNITED ARAB EMIRATES,198050,9323963,1123675,45767191
GB,UNITED KINGDOM,8000,754812,16000,1548291
US,UNITED STATES,96669,10790844,355509,36839137
VN,VIETNAM,0,0,22000,1213733
SUM,SUM,7666265,402578515,39012509,2045751960
