"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2019', 'Quantity')","('Feb 2019', 'CIF (Baht)')","('Jan - Feb 2019', 'Quantity')","('Jan - Feb 2019', 'CIF (Baht)')"
BE,BELGIUM,6875,356017,6875,356017
CN,CHINA,0,0,19612,145812
DE,GERMANY,4,31512,18,36035
JP,JAPAN,146290,1616487,362084,3767567
QA,QATAR,76500,2513174,76500,2513174
SG,SINGAPORE,0,0,0,89
CH,SWITZERLAND,0,0,2,1974
TW,"TAIWAN, PROVINCE OF CHINA",0,0,11000,1518174
US,UNITED STATES,61,97946,17275,231587
SUM,SUM,229730,4615136,493366,8570429
