"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2015', 'Quantity')","('Jun 2015', 'CIF (Baht)')","('Jan - Jun 2015', 'Quantity')","('Jan - Jun 2015', 'CIF (Baht)')"
BE,BELGIUM,99000,4938788,321816,15457029
CN,CHINA,54000,4193121,530014,36170901
DE,GERMANY,0,0,200,8731
ID,INDONESIA,34310,2846908,133735,10999334
IL,ISRAEL,0,0,12066,1059075
JP,JAPAN,767820,46329111,3573564,199400483
KR,"KOREA,REPUBLIC OF",0,0,270875,13750062
KW,KUWAIT,148500,6789733,866250,35252280
MY,MALAYSIA,1698500,81884547,9957410,436215289
NL,NETHERLANDS,24750,1348500,148500,7536184
PH,PHILIPPINES,23375,998027,23375,998027
QA,QATAR,153000,6944045,1122000,47086464
SA,SAUDI ARABIA,3316500,147031840,14305500,597721814
SG,SINGAPORE,232450,11850554,1145085,53780355
ES,SPAIN,49500,2746924,191250,10799364
TW,"TAIWAN, PROVINCE OF CHINA",0,0,12000,1376940
TH,THAILAND,0,0,25,4101
AE,UNITED ARAB EMIRATES,544500,25253025,3415300,141511187
US,UNITED STATES,161725,9345625,655466,46169297
VN,VIETNAM,0,0,29,3770
SUM,SUM,7307930,352500748,36684460,1655300687
