"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2020', 'Quantity')","('Nov 2020', 'CIF (Baht)')","('Jan - Nov 2020', 'Quantity')","('Jan - Nov 2020', 'CIF (Baht)')"
CN,CHINA,0,0,134642,10812663
HK,HONG KONG,0,0,5,2589
IN,INDIA,0,0,73,19720
IT,ITALY,0,0,450,45005
JP,JAPAN,0,0,139,159436
KR,"KOREA,REPUBLIC OF",35160,4081689,1427228,84758303
MY,MALAYSIA,0,0,80975,5734977
QA,QATAR,0,0,51000,1483624
SG,SINGAPORE,0,0,27975,6528239
ES,SPAIN,400,424948,400,424948
TW,"TAIWAN, PROVINCE OF CHINA",0,0,27,7946
US,UNITED STATES,12701,1499370,96525,10933883
VN,VIETNAM,0,0,1560,107696
SUM,SUM,48261,6006007,1820999,121019029
