"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2022', 'Quantity')","('Nov 2022', 'CIF (Baht)')","('Jan - Nov 2022', 'Quantity')","('Jan - Nov 2022', 'CIF (Baht)')"
BE,BELGIUM,0,0,25,355
CA,CANADA,149750,6162067,748750,35382514
CN,CHINA,42330,4114053,1454080,73011832
DE,GERMANY,0,0,5500,1407752
JP,JAPAN,76775,7323101,516776,52396760
KR,"KOREA,REPUBLIC OF",387800,45413217,4345536,428994931
LA,LAO PDR,0,0,20000,474907
NL,NETHERLANDS,85250,4732027,718700,46057952
QA,QATAR,0,0,331500,15446889
SA,SAUDI ARABIA,358175,16056567,2553775,124363895
SG,SINGAPORE,1335010,101479474,18347155,1210448669
ES,SPAIN,35200,4859912,426910,50602726
TW,"TAIWAN, PROVINCE OF CHINA",0,0,100,14069
AE,UNITED ARAB EMIRATES,569650,24087344,6244103,298177393
US,UNITED STATES,2384525,114049150,13544860,696128960
VN,VIETNAM,0,0,300,50466
SUM,SUM,5424465,328276912,49258070,3032960070
