"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2018', 'Quantity')","('Jan 2018', 'CIF (Baht)')","('Jan - Jan 2018', 'Quantity')","('Jan - Jan 2018', 'CIF (Baht)')"
AT,AUSTRIA,313,175833,313,175833
BE,BELGIUM,200375,10381552,200375,10381552
CA,CANADA,148,67074,148,67074
CN,CHINA,2373218,111033756,2373218,111033756
FR,FRANCE,360,72774,360,72774
DE,GERMANY,18020,4554690,18020,4554690
HK,HONG KONG,214,35887,214,35887
IN,INDIA,9000,785947,9000,785947
ID,INDONESIA,36850,3301405,36850,3301405
JP,JAPAN,828415,63746853,828415,63746853
KR,"KOREA,REPUBLIC OF",1913334,91512231,1913334,91512231
MY,MALAYSIA,26678,2319566,26678,2319566
NL,NETHERLANDS,198000,17648801,198000,17648801
NZ,NEW ZEALAND,985,979232,985,979232
SA,SAUDI ARABIA,2500350,102261070,2500350,102261070
SG,SINGAPORE,1195370,60707564,1195370,60707564
SK,SLOVAKIA,9700,625647,9700,625647
TW,"TAIWAN, PROVINCE OF CHINA",123701,4987651,123701,4987651
TH,THAILAND,29000,1806715,29000,1806715
AE,UNITED ARAB EMIRATES,110100,4373100,110100,4373100
US,UNITED STATES,6387,666284,6387,666284
VN,VIETNAM,21553,2803355,21553,2803355
SUM,SUM,9602071,484846987,9602071,484846987
