"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2015', 'Quantity')","('Jul 2015', 'CIF (Baht)')","('Jan - Jul 2015', 'Quantity')","('Jan - Jul 2015', 'CIF (Baht)')"
CZ,CZECH REPUBLIC,0,0,44,54648
FI,FINLAND,0,0,17,9244
FR,FRANCE,500,103324,500,103324
HK,HONG KONG,0,0,25,5890
IN,INDIA,0,0,25,4947
IT,ITALY,0,0,6000,818821
JP,JAPAN,31166,3937395,153959,21441888
KR,"KOREA,REPUBLIC OF",1500,73744,86346,4456965
MY,MALAYSIA,0,0,2000,175225
QA,QATAR,0,0,115500,4730079
SG,SINGAPORE,0,0,9975,998932
TW,"TAIWAN, PROVINCE OF CHINA",0,0,32010,1813767
VN,VIETNAM,0,0,16495,565955
SUM,SUM,33166,4114463,422896,35179685
