"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2013', 'Quantity')","('Feb 2013', 'CIF (Baht)')","('Jan - Feb 2013', 'Quantity')","('Jan - Feb 2013', 'CIF (Baht)')"
BE,BELGIUM,12000,1180999,24000,2361998
FI,FINLAND,5000,538452,7000,759889
JP,JAPAN,98000,7711826,377000,30168493
KR,"KOREA,REPUBLIC OF",469000,27726087,645000,39093292
MY,MALAYSIA,30000,1984793,80000,5489524
SE,SWEDEN,132300,9466883,237300,16295766
AE,UNITED ARAB EMIRATES,50700,2274959,50700,2274959
US,UNITED STATES,192132,10357852,259330,16659412
VN,VIETNAM,0,0,22000,1387059
SUM,SUM,989132,61241851,1702330,114490392
