"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2012', 'Quantity')","('Sept 2012', 'CIF (Baht)')","('Jan - Sept 2012', 'Quantity')","('Jan - Sept 2012', 'CIF (Baht)')"
BE,BELGIUM,0,0,30000,2868800
CN,CHINA,0,0,32125,2826060
IT,ITALY,6875,959512,15125,2731175
JP,JAPAN,0,0,97927,14200876
KR,"KOREA,REPUBLIC OF",43154,3872342,390801,31908904
MY,MALAYSIA,1375,189199,7375,763620
SG,SINGAPORE,0,0,8,13902
ES,SPAIN,0,0,11493,1023198
US,UNITED STATES,2250,285428,37092,3990774
VN,VIETNAM,0,0,600,63257
SUM,SUM,53654,5306481,622546,60390566
