"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2016', 'Quantity')","('Jul 2016', 'CIF (Baht)')","('Jan - Jul 2016', 'Quantity')","('Jan - Jul 2016', 'CIF (Baht)')"
BE,BELGIUM,0,0,130625,6191241
CN,CHINA,7500,1421856,18088,3129766
DE,GERMANY,0,0,14,4102
JP,JAPAN,36229,1994133,75149,5827774
KR,"KOREA,REPUBLIC OF",57075,2786871,148400,7301867
MY,MALAYSIA,0,0,40025,823650
QA,QATAR,25500,1083117,102000,4508825
SA,SAUDI ARABIA,43200,2018420,222300,10218983
TW,"TAIWAN, PROVINCE OF CHINA",0,0,6500,768078
UA,UKRAINE,4125,162069,5125,207761
AE,UNITED ARAB EMIRATES,0,0,24750,951799
GB,UNITED KINGDOM,0,0,26,20747
US,UNITED STATES,36,68314,835,536413
VN,VIETNAM,0,0,1010,34873
SUM,SUM,173665,9534780,774847,40525879
