"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2014', 'Quantity')","('Jul 2014', 'CIF (Baht)')","('Jan - Jul 2014', 'Quantity')","('Jan - Jul 2014', 'CIF (Baht)')"
BR,BRAZIL,0,0,95,103515
CN,CHINA,25000,1532641,121024,7516514
FR,FRANCE,0,0,100,71639
DE,GERMANY,0,0,1,3569
HK,HONG KONG,0,0,2,1306
IN,INDIA,0,0,225,21739
IL,ISRAEL,11200,990211,56000,4810215
JP,JAPAN,8842,819914,83612,7258198
KR,"KOREA,REPUBLIC OF",0,0,73700,4114617
MY,MALAYSIA,0,0,20066,501586
NL,NETHERLANDS,0,0,50,51216
QA,QATAR,25500,1414571,76500,4274629
SG,SINGAPORE,24760,1406412,27603,1673614
TW,"TAIWAN, PROVINCE OF CHINA",10000,1091654,30000,3271981
US,UNITED STATES,0,0,36314,11176660
SUM,SUM,105302,7255403,525292,44850998
