"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2021', 'Quantity')","('Jul 2021', 'CIF (Baht)')","('Jan - Jul 2021', 'Quantity')","('Jan - Jul 2021', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,5000,403058
AT,AUSTRIA,0,0,2750,309830
BD,BANGLADESH,0,0,50,1524
BE,BELGIUM,90125,6979168,500938,29621979
BR,BRAZIL,0,0,1100,174991
CA,CANADA,2100,228068,29100,2021513
CN,CHINA,158627,4453687,652789,27282200
FR,FRANCE,0,0,49500,2763935
DE,GERMANY,52616,1870983,54631,2232848
HK,HONG KONG,0,0,6,8808
IN,INDIA,0,0,3725,6092606
IT,ITALY,13960,1965354,93310,10827603
JP,JAPAN,187425,14611671,2312958,154290524
KR,"KOREA,REPUBLIC OF",729650,56259937,8961706,623591284
MY,MALAYSIA,98250,2950049,292906,18126324
PT,PORTUGAL,9504,1128952,38880,4434993
QA,QATAR,0,0,34000,1466403
SA,SAUDI ARABIA,74250,5991571,371250,28851352
SG,SINGAPORE,0,0,181050,10715188
ES,SPAIN,18627,602622,18656,616258
TW,"TAIWAN, PROVINCE OF CHINA",1585703,126531218,6977887,534554707
GB,UNITED KINGDOM,10000,1197613,10000,1197613
US,UNITED STATES,56250,4438169,436578,28278950
VN,VIETNAM,19550,629165,59760,1954817
SUM,SUM,3106637,229838227,21088530,1489819308
