"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2014', 'Quantity')","('Nov 2014', 'CIF (Baht)')","('Jan - Nov 2014', 'Quantity')","('Jan - Nov 2014', 'CIF (Baht)')"
BE,BELGIUM,0,0,4,20899
BR,BRAZIL,0,0,4202,1493677
CN,CHINA,3000,289505,33104,3250499
FR,FRANCE,720,150280,67192,6985807
DE,GERMANY,0,0,26477,8160481
JP,JAPAN,22106,1858710,547358,43224514
KR,"KOREA,REPUBLIC OF",120140,8624236,2094828,157599520
MY,MALAYSIA,0,0,160,32000
NL,NETHERLANDS,0,0,1,30714
RU,RUSSIAN FEDERATION,0,0,6750,1469879
SG,SINGAPORE,1440,123906,16200,1352428
TW,"TAIWAN, PROVINCE OF CHINA",0,0,10000,903454
GB,UNITED KINGDOM,0,0,180,55998
US,UNITED STATES,0,0,5350,1060307
SUM,SUM,147406,11046637,2811806,225640177
