"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2019', 'Quantity')","('Aug 2019', 'CIF (Baht)')","('Jan - Aug 2019', 'Quantity')","('Jan - Aug 2019', 'CIF (Baht)')"
CA,CANADA,60,33170,60,33170
CN,CHINA,3,1644,15513,1096775
FR,FRANCE,5,2763,62146,4298722
DE,GERMANY,700,106374,5429,873613
IN,INDIA,14000,664714,42450,2034366
IT,ITALY,625,137900,675,164888
JP,JAPAN,38550,2118230,860851,37853401
KR,"KOREA,REPUBLIC OF",337080,17217820,1253600,62659332
MY,MALAYSIA,0,0,1000,264729
RU,RUSSIAN FEDERATION,8250,1277373,18000,3140368
US,UNITED STATES,7,6345,697,186623
SUM,SUM,399280,21566333,2260421,112605987
