"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2018', 'Quantity')","('Nov 2018', 'CIF (Baht)')","('Jan - Nov 2018', 'Quantity')","('Jan - Nov 2018', 'CIF (Baht)')"
BE,BELGIUM,0,0,9000,927415
CN,CHINA,3000,315499,36306,2969891
DE,GERMANY,5125,1313225,12150,2175557
JP,JAPAN,18500,1133356,88853,6073842
KR,"KOREA,REPUBLIC OF",0,0,23375,1525681
NL,NETHERLANDS,99000,4648392,916250,44237220
SA,SAUDI ARABIA,148500,5902355,1332000,54193550
SG,SINGAPORE,934375,52727048,10553980,632285229
ES,SPAIN,17600,1149858,121950,6922568
TH,THAILAND,0,0,25,17268
AE,UNITED ARAB EMIRATES,209300,8176608,2399575,97853635
GB,UNITED KINGDOM,0,0,25,14852
US,UNITED STATES,41697,3303881,255470,20078853
SUM,SUM,1477097,78670222,15748959,869275561
