"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2014', 'Quantity')","('Feb 2014', 'CIF (Baht)')","('Jan - Feb 2014', 'Quantity')","('Jan - Feb 2014', 'CIF (Baht)')"
CN,CHINA,23175,1809995,23200,1814368
ID,INDONESIA,35925,3412290,50195,4914462
JP,JAPAN,377370,25501841,806830,52547031
KW,KUWAIT,123750,6329754,247500,12471501
MY,MALAYSIA,906500,51077727,2046000,114147324
QA,QATAR,25500,1329557,127500,6358541
SA,SAUDI ARABIA,1608750,83057977,4529300,230504251
SG,SINGAPORE,233000,12838796,384500,20779965
AE,UNITED ARAB EMIRATES,496200,27292037,991225,53250454
US,UNITED STATES,155666,10294268,294938,21409588
SUM,SUM,3985836,222944242,9501188,518197485
