"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2012', 'Quantity')","('Sept 2012', 'CIF (Baht)')","('Jan - Sept 2012', 'Quantity')","('Jan - Sept 2012', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,0,12000
BR,BRAZIL,975,217783,2995,766829
CN,CHINA,5,848,13705,1265713
FR,FRANCE,1140,266843,141165,10676080
DE,GERMANY,5100,1432410,16400,4204842
HK,HONG KONG,0,1600,0,1600
JP,JAPAN,17730,2150452,82495,11174193
KR,"KOREA,REPUBLIC OF",163500,9471949,1214375,69182826
MY,MALAYSIA,0,0,225,81357
RU,RUSSIAN FEDERATION,0,0,6344,1310139
SG,SINGAPORE,720,60131,888,88383
TW,"TAIWAN, PROVINCE OF CHINA",0,0,9915,866800
GB,UNITED KINGDOM,0,0,5040,583251
US,UNITED STATES,0,0,26750,1938086
SUM,SUM,189170,13602016,1520297,102152099
