"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2017', 'Quantity')","('Apr 2017', 'CIF (Baht)')","('Jan - Apr 2017', 'Quantity')","('Jan - Apr 2017', 'CIF (Baht)')"
BE,BELGIUM,123750,6265706,247500,12643776
CN,CHINA,0,0,397500,29801550
ID,INDONESIA,15010,1376179,103660,8539809
IR,IRAN (ISLAMIC REPUBLIC OF),0,0,120,30350
JP,JAPAN,33223,6122513,2270973,130604602
KR,"KOREA,REPUBLIC OF",0,0,22400,1114204
KW,KUWAIT,99000,4182899,594000,24792542
MY,MALAYSIA,390400,19920393,2807801,135022979
NL,NETHERLANDS,64750,3235365,228525,11653491
QA,QATAR,0,0,1632000,67787196
SA,SAUDI ARABIA,2341798,99760507,11203794,481727706
SG,SINGAPORE,594000,28311963,1809229,85582121
ZA,SOUTH AFRICA,49500,2166292,49500,2166292
ES,SPAIN,0,0,25750,1296544
TW,"TAIWAN, PROVINCE OF CHINA",0,0,50,1774
TH,THAILAND,24000,1202596,25723,1529013
AE,UNITED ARAB EMIRATES,780250,33851456,3712575,159572813
US,UNITED STATES,90350,7093892,497500,35315337
SUM,SUM,4606031,213489761,25628600,1189182099
