"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2013', 'Quantity')","('Feb 2013', 'CIF (Baht)')","('Jan - Feb 2013', 'Quantity')","('Jan - Feb 2013', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,1375,101492
BE,BELGIUM,102620,5726004,202620,11231142
BR,BRAZIL,0,0,5500,409351
CN,CHINA,76000,2503352,81000,2805682
FR,FRANCE,11000,1217499,17875,2020978
DE,GERMANY,2060,1764621,15000,3020491
ID,INDONESIA,0,0,74250,3242674
JP,JAPAN,1223586,67666294,3453587,195605410
KR,"KOREA,REPUBLIC OF",14680,765833,32280,1588595
KW,KUWAIT,470250,19516191,1212750,50702188
MY,MALAYSIA,665000,29959486,1088000,48048153
NL,NETHERLANDS,0,0,700,184375
QA,QATAR,1968480,87654903,4921548,220890200
SA,SAUDI ARABIA,1303250,55686343,3159500,134923038
SG,SINGAPORE,1649140,73346021,3841036,176113655
SE,SWEDEN,0,0,11000,811937
TW,"TAIWAN, PROVINCE OF CHINA",0,0,2000,260927
TH,THAILAND,11500,871841,13322,911695
AE,UNITED ARAB EMIRATES,593650,26070575,2004000,84575980
GB,UNITED KINGDOM,0,0,9999,2072329
US,UNITED STATES,0,0,456500,20812658
SUM,SUM,8091216,372748963,20603842,960332950
