"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2022', 'Quantity')","('Feb 2022', 'CIF (Baht)')","('Jan - Feb 2022', 'Quantity')","('Jan - Feb 2022', 'CIF (Baht)')"
AT,AUSTRIA,363,203812,25175,2750100
BN,BRUNEI DARUSSALAM,1,300,1,300
CN,CHINA,490991,31827859,1964423,110569287
DK,DENMARK,1,1887,1,1887
FI,FINLAND,0,400,0,400
FR,FRANCE,2500,285986,2500,285986
DE,GERMANY,3100,420196,7225,1091529
HK,HONG KONG,3,3742,3,3742
IN,INDIA,3000,603409,497000,23193107
ID,INDONESIA,29750,3153122,69750,6562352
IT,ITALY,0,0,1000,112124
JP,JAPAN,532539,50181659,1064405,88344729
KR,"KOREA,REPUBLIC OF",1190525,61674859,2304450,121155470
MY,MALAYSIA,48517,7139346,223367,19970839
MX,MEXICO,50,125870,50,125870
NL,NETHERLANDS,49500,4755964,99000,9466805
NZ,NEW ZEALAND,0,0,3000,230118
OM,OMAN,198000,8027127,445500,18651579
SA,SAUDI ARABIA,1883915,80540964,3415475,148398013
SG,SINGAPORE,159625,9335700,718483,37381601
TW,"TAIWAN, PROVINCE OF CHINA",41766,4295895,123495,12661795
AE,UNITED ARAB EMIRATES,1014850,42978753,1757350,75602724
GB,UNITED KINGDOM,8,46047,33,66166
US,UNITED STATES,4790,766328,13645,3278004
VN,VIETNAM,132864,3797608,451761,11435335
SUM,SUM,5786658,310166833,13187092,691339862
