"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2016', 'Quantity')","('May 2016', 'CIF (Baht)')","('Jan - May 2016', 'Quantity')","('Jan - May 2016', 'CIF (Baht)')"
AT,AUSTRIA,50,4045,7200,1019529
BE,BELGIUM,55400,6054912,294050,25027156
BR,BRAZIL,0,0,0,3998
CA,CANADA,8000,1899986,24000,6080492
CN,CHINA,548447,27835254,2414928,118011425
EG,EGYPT,360,24949,748,59779
FR,FRANCE,0,0,12150,1569875
DE,GERMANY,27300,2400800,235924,16187500
HK,HONG KONG,42,18161,117,52899
IN,INDIA,5000,312492,32279,2937147
ID,INDONESIA,0,0,100,34276
IT,ITALY,0,0,6475,2245865
JP,JAPAN,370566,42340206,1951568,206492261
KR,"KOREA,REPUBLIC OF",189604,9381728,799725,41168096
MY,MALAYSIA,50000,3101456,346624,21680835
NL,NETHERLANDS,0,0,200,40116
NZ,NEW ZEALAND,1700,438589,1700,438589
PH,PHILIPPINES,0,0,1100,8710
QA,QATAR,918000,38325840,2805000,114445564
SA,SAUDI ARABIA,290700,12795693,1148900,48412581
SG,SINGAPORE,3104193,163517259,10256555,550214722
ES,SPAIN,100,9841,30900,2688419
CH,SWITZERLAND,0,0,0,1984
TW,"TAIWAN, PROVINCE OF CHINA",3014,548487,1022907,49466154
TH,THAILAND,150,37170,2466,280851
UG,UGANDA,1905,330681,1905,330681
UA,UKRAINE,0,0,159350,7876480
AE,UNITED ARAB EMIRATES,587125,25708104,2536250,103880064
GB,UNITED KINGDOM,0,0,2600,689024
US,UNITED STATES,378926,41500695,3221787,285407510
VN,VIETNAM,25,4113,310,58089
SUM,SUM,6540607,376590461,27317818,1606810671
