"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2013', 'Quantity')","('Nov 2013', 'CIF (Baht)')","('Jan - Nov 2013', 'Quantity')","('Jan - Nov 2013', 'CIF (Baht)')"
AU,AUSTRALIA,2100,205341,18570,1223620
AT,AUSTRIA,0,0,32500,2013195
BE,BELGIUM,5000,870963,115290,13413555
BR,BRAZIL,0,0,18492,2730435
CA,CANADA,8000,1364480,40000,6516516
CN,CHINA,86800,8242643,939565,107852108
CZ,CZECH REPUBLIC,0,0,1500,244184
FR,FRANCE,10000,1399872,57495,11094397
DE,GERMANY,15818,1499228,48332,5831292
HK,HONG KONG,2000,183734,44325,3745925
IN,INDIA,0,0,525,45838
ID,INDONESIA,5000,529255,61233,5980499
IT,ITALY,24750,1944430,30267,2605064
JP,JAPAN,1108287,82131498,16548766,1099886495
KR,"KOREA,REPUBLIC OF",550300,31607526,7736826,396734696
LU,LUXEMBOURG,0,0,400,182004
MY,MALAYSIA,48000,2609799,832624,39467003
NL,NETHERLANDS,121050,8138561,1424350,96386813
NZ,NEW ZEALAND,0,0,80,12140
NO,NORWAY,0,0,9,5027
SA,SAUDI ARABIA,1212750,59299589,4416250,208138249
SG,SINGAPORE,3552800,193471170,53363700,2723789379
ES,SPAIN,0,0,5510,592693
CH,SWITZERLAND,0,0,1,4495
TW,"TAIWAN, PROVINCE OF CHINA",273000,16783396,2219264,126523833
TH,THAILAND,0,0,77250,5264535
AE,UNITED ARAB EMIRATES,90750,4366146,926900,42203038
GB,UNITED KINGDOM,0,0,60000,5466746
US,UNITED STATES,16922,608342,330583,25841295
VN,VIETNAM,10000,4229112,90000,22563066
SUM,SUM,7143327,419485085,89440607,4956358135
