"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2013', 'Quantity')","('Jun 2013', 'CIF (Baht)')","('Jan - Jun 2013', 'Quantity')","('Jan - Jun 2013', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,7,1737
CN,CHINA,0,0,70120,4232899
DE,GERMANY,3845,278816,28595,1873287
IL,ISRAEL,0,0,11180,823175
JP,JAPAN,3200,227168,43791,4364346
KR,"KOREA,REPUBLIC OF",0,0,36000,1760757
MY,MALAYSIA,27,6238,27,6238
NL,NETHERLANDS,0,0,49502,3282913
QA,QATAR,0,0,178500,7788696
SA,SAUDI ARABIA,0,0,32000,1416940
SG,SINGAPORE,0,0,58,53320
CH,SWITZERLAND,0,0,0,1557
TW,"TAIWAN, PROVINCE OF CHINA",10000,968495,10000,968495
TH,THAILAND,0,0,2250,359978
US,UNITED STATES,27216,7554084,45360,12763682
SUM,SUM,44288,9034801,507390,39698020
