"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2019', 'Quantity')","('Dec 2019', 'CIF (Baht)')","('Jan - Dec 2019', 'Quantity')","('Jan - Dec 2019', 'CIF (Baht)')"
BE,BELGIUM,0,0,56375,2305978
CA,CANADA,0,0,386,110578
CN,CHINA,0,0,19829,212509
DK,DENMARK,0,0,4,1038
FR,FRANCE,0,0,2,1794
DE,GERMANY,0,0,119,69481
IN,INDIA,0,0,3005,258570
ID,INDONESIA,7,4372,7,4372
JP,JAPAN,19500,1193801,508003,12879806
KR,"KOREA,REPUBLIC OF",0,0,3,916
MY,MALAYSIA,0,0,1129,233034
QA,QATAR,0,0,535500,16035353
SA,SAUDI ARABIA,0,0,565650,18300644
SG,SINGAPORE,0,0,0,89
ES,SPAIN,0,0,2,1277
CH,SWITZERLAND,0,0,3,2737
TW,"TAIWAN, PROVINCE OF CHINA",30,22967,35031,4703719
TH,THAILAND,0,0,4000,194800
AE,UNITED ARAB EMIRATES,0,0,11,6831
GB,UNITED KINGDOM,0,0,369,162516
US,UNITED STATES,0,0,37893,401722
VN,VIETNAM,0,0,82000,3713574
SUM,SUM,19537,1221140,1849321,59601338
