"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2020', 'Quantity')","('Jun 2020', 'CIF (Baht)')","('Jan - Jun 2020', 'Quantity')","('Jan - Jun 2020', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,44000,940506
AT,AUSTRIA,0,0,560,135368
BE,BELGIUM,98480,3160326,660366,22701374
BR,BRAZIL,147300,11260920,1017425,82316817
CN,CHINA,70135,2682096,606473,27375860
CZ,CZECH REPUBLIC,0,0,75,16883
FR,FRANCE,269700,11467063,379700,16929391
DE,GERMANY,27650,7737213,206705,37015150
HK,HONG KONG,0,0,7,2855
IN,INDIA,5000,114266,59500,1659169
ID,INDONESIA,500,13059,2558,180224
IL,ISRAEL,0,0,450,83962
IT,ITALY,232780,10072211,1855175,86493156
JP,JAPAN,649487,35857806,5978612,297167281
KR,"KOREA,REPUBLIC OF",882000,23554097,3897055,114660476
KW,KUWAIT,594000,13635358,3588750,92635800
MY,MALAYSIA,1709800,43292879,7849850,234194876
NL,NETHERLANDS,0,0,22007,2058808
NO,NORWAY,0,0,82,18765
PT,PORTUGAL,0,0,50,17307
QA,QATAR,893900,23680340,7265860,201261390
SA,SAUDI ARABIA,1154000,27169451,8870500,226716302
SG,SINGAPORE,973630,25409794,8456185,237475344
CH,SWITZERLAND,0,0,146240,7018286
TW,"TAIWAN, PROVINCE OF CHINA",310050,9995974,1455550,59396094
TH,THAILAND,0,0,16475,814305
AE,UNITED ARAB EMIRATES,1188500,38408147,8809918,255746454
US,UNITED STATES,2120501,63475447,15720825,455726882
SUM,SUM,11327413,350986447,76910953,2460759085
