"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2015', 'Quantity')","('Dec 2015', 'CIF (Baht)')","('Jan - Dec 2015', 'Quantity')","('Jan - Dec 2015', 'CIF (Baht)')"
AU,AUSTRALIA,2500,983635,6399,1803915
AT,AUSTRIA,0,0,37125,2371821
BE,BELGIUM,44000,3828496,982945,77941573
BR,BRAZIL,0,0,99050,4810518
CA,CANADA,58320,2396624,233280,8889961
CN,CHINA,5200,556623,431645,31028046
CO,COLOMBIA,0,0,26,17637
CZ,CZECH REPUBLIC,0,0,200,38734
EG,EGYPT,0,0,449,40683
FI,FINLAND,123750,6468307,888000,46576846
FR,FRANCE,0,0,2750,459171
DE,GERMANY,164772,11566735,2476263,166770657
HK,HONG KONG,0,0,24750,942978
IN,INDIA,25,6295,26,6460
ID,INDONESIA,8000,637400,26320,7988081
IL,ISRAEL,0,0,20,709
IT,ITALY,0,0,12870,463835
JP,JAPAN,196876,15970051,4622647,311237239
KR,"KOREA,REPUBLIC OF",352000,20536006,3341393,198710368
KW,KUWAIT,148500,6111990,3811500,163671641
LA,LAO PDR,0,0,15,2477
MY,MALAYSIA,3327880,147941728,28144594,1286512146
MX,MEXICO,0,0,51,35778
NL,NETHERLANDS,355200,20150851,3236285,187298395
NZ,NEW ZEALAND,1,2042,1,2042
PH,PHILIPPINES,0,0,866,97795
QA,QATAR,765000,32495212,6783000,292932834
SA,SAUDI ARABIA,1844850,80042592,27597048,1206304058
SG,SINGAPORE,2039775,95138399,27188977,1307801672
ES,SPAIN,0,0,164000,16173013
LK,SRI LANKA,0,0,29,5312
SE,SWEDEN,11000,741557,20625,1371703
CH,SWITZERLAND,2927,465848,41177,8239955
TW,"TAIWAN, PROVINCE OF CHINA",400,102342,31100,2534796
TH,THAILAND,0,0,1825,122983
AE,UNITED ARAB EMIRATES,229250,10738147,1756622,74310735
GB,UNITED KINGDOM,2006,431033,31805,1826913
US,UNITED STATES,2926,579233,1467236,121283187
VN,VIETNAM,0,0,34055,3851774
SUM,SUM,9685158,457891146,113496969,5534478441
