"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2021', 'Quantity')","('Sept 2021', 'CIF (Baht)')","('Jan - Sept 2021', 'Quantity')","('Jan - Sept 2021', 'CIF (Baht)')"
AU,AUSTRALIA,22500,2070028,220850,18437255
BE,BELGIUM,126250,6676428,956850,49999258
BR,BRAZIL,0,0,23375,2588273
CA,CANADA,0,0,1512800,52612676
CN,CHINA,0,0,924774,51201157
DE,GERMANY,0,0,208,81746
IN,INDIA,10650,1407368,62650,3432027
ID,INDONESIA,403225,17350157,5412975,205525990
IL,ISRAEL,12000,1003650,30040,2625253
JP,JAPAN,66675,6759419,719624,64534658
KR,"KOREA,REPUBLIC OF",0,0,383094,19464745
KW,KUWAIT,148500,5622293,2079000,72496335
MY,MALAYSIA,60000,3307135,1186395,47076821
NL,NETHERLANDS,0,0,24750,1360171
OM,OMAN,0,0,200,4970
QA,QATAR,229500,8650459,2829750,104619028
SA,SAUDI ARABIA,1789500,71166551,28118170,1022027989
SG,SINGAPORE,251250,12151778,3582775,151868758
TW,"TAIWAN, PROVINCE OF CHINA",0,0,1700,3451292
AE,UNITED ARAB EMIRATES,780250,32205998,8584525,331551978
US,UNITED STATES,446875,19021748,3888836,168142809
VN,VIETNAM,0,0,180,27549
SUM,SUM,4347175,187393012,60543521,2373130738
