"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2021', 'Quantity')","('Nov 2021', 'CIF (Baht)')","('Jan - Nov 2021', 'Quantity')","('Jan - Nov 2021', 'CIF (Baht)')"
CA,CANADA,0,0,16250,2333688
CN,CHINA,13225,4920071,191256,32369728
DE,GERMANY,0,0,1016,412442
HK,HONG KONG,0,0,1,96
IN,INDIA,0,0,15671,880683
JP,JAPAN,0,0,49472,7815728
SG,SINGAPORE,200,131026,4200,1275121
ES,SPAIN,0,0,2,1755
TW,"TAIWAN, PROVINCE OF CHINA",0,0,244,27305
TR,TÜRKIYE,0,0,1085,62024
GB,UNITED KINGDOM,214,143828,1122,631936
US,UNITED STATES,108,102080,233,230326
SUM,SUM,13747,5297005,280552,46040832
