"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2013', 'Quantity')","('Oct 2013', 'CIF (Baht)')","('Jan - Oct 2013', 'Quantity')","('Jan - Oct 2013', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,28000,1772992
AT,AUSTRIA,1375,177443,88750,5823521
BE,BELGIUM,0,0,123000,10688079
CN,CHINA,88160,5474872,463535,27690792
FI,FINLAND,4000,453246,18375,1955663
DE,GERMANY,0,0,11000,1092396
HK,HONG KONG,0,0,85093,5375264
IN,INDIA,0,0,168000,9573923
IT,ITALY,0,0,4125,312746
JP,JAPAN,136250,10697111,1279550,96331368
KR,"KOREA,REPUBLIC OF",555000,36132292,3244000,201580937
MY,MALAYSIA,80000,5681134,234125,16510577
SA,SAUDI ARABIA,0,0,49500,2046415
SE,SWEDEN,139900,11175057,829300,63050393
TW,"TAIWAN, PROVINCE OF CHINA",0,0,44015,3613985
AE,UNITED ARAB EMIRATES,39000,1996804,413450,19906871
GB,UNITED KINGDOM,0,0,155,35425
US,UNITED STATES,245851,17676402,1054470,68296901
VN,VIETNAM,62000,4206385,403800,26187163
SUM,SUM,1351536,93670746,8542243,561845411
